arm,towers,sockets,shape,entry,meanDepth,lane0Leak,lane1Leak,totalLeak
C,2,L1S2|J,0-1-1,0.00,7.500,17,3,20
C,3,L0S0|L0S1|L0S2,3-0-0,1.50,6.000,0,11,11
C,3,L0S0|L0S1|L1S0,2-1-0,1.50,4.000,6,9,15
C,3,L0S0|L0S1|L1S1,2-1-0,1.50,5.000,6,9,15
C,3,L0S0|L0S1|L1S2,2-1-0,1.50,6.000,6,9,15
C,3,L0S0|L0S1|J,2-0-1,1.50,5.000,3,10,13
C,3,L0S0|L0S2|L1S0,2-1-0,1.50,5.000,9,9,18
C,3,L0S0|L0S2|L1S1,2-1-0,1.50,6.000,9,9,18
C,3,L0S0|L0S2|L1S2,2-1-0,1.50,7.000,9,9,18
C,3,L0S0|L0S2|J,2-0-1,1.50,6.000,8,10,18
C,3,L0S0|L1S0|L1S1,1-2-0,1.50,4.000,16,1,17
C,3,L0S0|L1S0|L1S2,1-2-0,1.50,5.000,16,2,18
C,3,L0S0|L1S0|J,1-1-1,1.50,4.000,16,1,17
C,3,L0S0|L1S1|L1S2,1-2-0,1.50,6.000,16,1,17
C,3,L0S0|L1S1|J,1-1-1,1.50,5.000,16,8,24
C,3,L0S0|L1S2|J,1-1-1,1.50,6.000,16,3,19
C,3,L0S1|L0S2|L1S0,2-1-0,1.50,6.000,5,9,14
C,3,L0S1|L0S2|L1S1,2-1-0,1.50,7.000,5,9,14
C,3,L0S1|L0S2|L1S2,2-1-0,1.50,8.000,5,9,14
C,3,L0S1|L0S2|J,2-0-1,1.50,7.000,5,10,15
C,3,L0S1|L1S0|L1S1,1-2-0,1.50,5.000,17,1,18
C,3,L0S1|L1S0|L1S2,1-2-0,1.50,6.000,17,2,19
C,3,L0S1|L1S0|J,1-1-1,1.50,5.000,17,1,18
C,3,L0S1|L1S1|L1S2,1-2-0,1.50,7.000,17,1,18
C,3,L0S1|L1S1|J,1-1-1,1.50,6.000,17,8,25
C,3,L0S1|L1S2|J,1-1-1,1.50,7.000,17,3,20
